id,name,code,country_id/id
base.state_ua_11,АРК,11,base.ua
base.state_ua_23,Вінницька,23,base.ua
base.state_ua_24,Волинська,24,base.ua
base.state_ua_04,Дніпропетровська,4,base.ua
base.state_ua_05,Донецька,5,base.ua
base.state_ua_27,Житомирська,27,base.ua
base.state_ua_25,Закарпатська,25,base.ua
base.state_ua_26,Запорізька,26,base.ua
base.state_ua_06,Івано-Франківська,6,base.ua
base.state_ua_12,Київська,12,base.ua
base.state_ua_13,Київ,13,base.ua
base.state_ua_10,Кіровоградська,10,base.ua
base.state_ua_14,Луганська,14,base.ua
base.state_ua_15,Львівська,15,base.ua
base.state_ua_16,Миколаївська,16,base.ua
base.state_ua_17,Одеська,17,base.ua
base.state_ua_18,Полтавська,18,base.ua
base.state_ua_19,Рівненська,19,base.ua
base.state_ua_21,Сумська,21,base.ua
base.state_ua_22,Тернопільська,22,base.ua
base.state_ua_07,Харківська,7,base.ua
base.state_ua_08,Херсонська,8,base.ua
base.state_ua_09,Хмельницька,9,base.ua
base.state_ua_01,Черкаська,1,base.ua
base.state_ua_03,Чернівецька,3,base.ua
base.state_ua_02,Чернігівська,2,base.ua
