id,sequence,department_id/id,name,mos,no_of_recruitment,payroll_grade,rank_id/id
a1234-j0001,5,military_department.a1234-d002,Командир бригади,212002,1,39,military_rank.rank_300
a1234-j0002,6,military_department.a1234-d002,Заступник командира бригади,212002,1,38,military_rank.rank_300
a1234-j0003,7,military_department.a1234-d002,Начальник фізичної підготовки і спорту,3201003,1,23,military_rank.rank_250
a1234-j0004,8,military_department.a1234-d002,Головний сержант,929981Д,1,22,military_rank.rank_120
a1234-j0005,9,military_department.a1234-d002,Військовий капелан,3920003,1,24,military_rank.rank_280
a1234-j0006,10,military_department.a1234-d002,Помічник військового капелана,916582,1,4/3,military_rank.rank_50
a1234-j0007,12,military_department.a1234-d003,Помічник командира бригади з правової роботи - начальник служби,8503003,1,25,military_rank.rank_260
a1234-j0008,13,military_department.a1234-d003,Офіцер,8503003,1,17,military_rank.rank_230
a1234-j0009,15,military_department.a1234-d004,Начальник прес-служби,3303003,1,23,military_rank.rank_220
a1234-j0010,16,military_department.a1234-d004,Офіцер,3303003,1,17,military_rank.rank_190
a1234-j0011,18,military_department.a1234-d005,Начальник штабу - перший заступник командира бригади,212002,1,38,military_rank.rank_300
a1234-j0012,19,military_department.a1234-d005,Заступник начальника штабу,212003,1,29,military_rank.rank_250
a1234-j0013,20,military_department.a1234-d005,Заступник начальника штабу з мобілізаційної роботи,2901003,1,29,military_rank.rank_250
a1234-j0014,22,military_department.a1234-d006,Начальник відділення,212002,1,24,military_rank.rank_290
a1234-j0015,23,military_department.a1234-d006,Старший помічник начальника відділення,212003,2,21,military_rank.rank_250
a1234-j0017,25,military_department.a1234-d006,Помічник начальника відділення,212003,1,17,military_rank.rank_220
a1234-j0018,26,military_department.a1234-d006,Штаб-сержант 3 категорії,100723,1,14,military_rank.rank_90
a1234-j0019,28,military_department.a1234-d007,Начальник командного пункту - заступник начальника штабу з бойового управління,212002,1,29,military_rank.rank_290
a1234-j0020,30,military_department.a1234-d008,Начальник відділення,212003,1,22,military_rank.rank_250
a1234-j0021,31,military_department.a1234-d008,Старший оперативний черговий,212003,3,21,military_rank.rank_250
a1234-j0024,35,military_department.a1234-d009,Начальник відділення,212003,1,22,military_rank.rank_250
a1234-j0025,36,military_department.a1234-d009,Старший оперативний черговий,212003,1,21,military_rank.rank_250
a1234-j0026,37,military_department.a1234-d009,Оперативний черговий,304003,1,20,military_rank.rank_220
a1234-j0027,38,military_department.a1234-d009,Оперативний черговий,901003,1,20,military_rank.rank_220
a1234-j0028,40,military_department.a1234-d010,Начальник відділення,212003,1,22,military_rank.rank_250
a1234-j0029,41,military_department.a1234-d010,Старший оперативний черговий,212003,2,21,military_rank.rank_250
a1234-j0031,43,military_department.a1234-d010,Оперативний черговий,212003,1,20,military_rank.rank_220
a1234-j0032,45,military_department.a1234-d011,Начальник групи,212003,1,21,military_rank.rank_220
a1234-j0033,46,military_department.a1234-d011,Офіцер,212003,1,17,military_rank.rank_190
a1234-j0034,48,military_department.a1234-d012,Начальник розвідки - начальник відділення,901003,1,24,military_rank.rank_250
a1234-j0035,49,military_department.a1234-d012,Помічник начальника розвідки,902003,1,17,military_rank.rank_220
a1234-j0036,50,military_department.a1234-d012,Помічник начальника розвідки,634003,1,17,military_rank.rank_220
a1234-j0037,52,military_department.a1234-d013,Начальник зв'язку - начальник відділення,1210003,1,24,military_rank.rank_250
a1234-j0038,53,military_department.a1234-d013,Помічник начальника зв’язку,1212003,1,17,military_rank.rank_220
a1234-j0039,54,military_department.a1234-d013,Помічник начальника зв’язку,1215003,1,17,military_rank.rank_220
a1234-j0040,55,military_department.a1234-d013,Помічник начальника зв’язку,5311023,1,17,military_rank.rank_220
a1234-j0041,56,military_department.a1234-d013,Помічник начальника зв’язку,5301003,1,17,military_rank.rank_220
a1234-j0042,57,military_department.a1234-d013,Технік,100723,1,10,military_rank.rank_100
a1234-j0043,59,military_department.a1234-d014,Начальник групи,1602003,1,17,military_rank.rank_220
a1234-j0044,60,military_department.a1234-d014,Офіцер,1602003,1,15,military_rank.rank_190
a1234-j0045,61,military_department.a1234-d014,Оператор,600543,1,4/3,military_rank.rank_50
a1234-j0046,63,military_department.a1234-d015,Начальник відділення,2905003,1,24,military_rank.rank_250
a1234-j0047,64,military_department.a1234-d015,Старший помічник начальника відділення,2905003,1,21,military_rank.rank_220
a1234-j0048,65,military_department.a1234-d015,Помічник начальника відділення,2905003,1,17,military_rank.rank_190
a1234-j0049,66,military_department.a1234-d015,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0050,68,military_department.a1234-d016,Начальник стройової частини,2905003,1,20,military_rank.rank_250
a1234-j0051,69,military_department.a1234-d016,Відповідальний виконавець,901547,1,8,military_rank.rank_50
a1234-j0052,70,military_department.a1234-d016,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0053,72,military_department.a1234-d017,Начальник групи,3605003,1,20,military_rank.rank_220
a1234-j0054,73,military_department.a1234-d017,Оператор,600543,1,4/3,military_rank.rank_30
a1234-j0055,75,military_department.a1234-d018,Начальник групи,212003,1,20,military_rank.rank_220
a1234-j0056,76,military_department.a1234-d018,Офіцер,212003,1,17,military_rank.rank_190
a1234-j0057,78,military_department.a1234-d019,Начальник групи,8504003,1,20,military_rank.rank_250
a1234-j0058,79,military_department.a1234-d019,Офіцер,8504003,1,17,military_rank.rank_220
a1234-j0059,81,military_department.a1234-d020,Заступник командира бригади з морально психологічного забезпечення - начальник відділення,3410002,1,38,military_rank.rank_290
a1234-j0060,82,military_department.a1234-d020,Старший офіцер,3400023,1,21,military_rank.rank_250
a1234-j0061,83,military_department.a1234-d020,Офіцер,3400023,2,17,military_rank.rank_220
a1234-j0063,85,military_department.a1234-d020,Офіцер,3400043,1,17,military_rank.rank_220
a1234-j0064,86,military_department.a1234-d020,Офіцер,3400053,1,17,military_rank.rank_220
a1234-j0065,87,military_department.a1234-d020,Психолог,50537,1,прим.35,military_rank.rank_10
a1234-j0066,89,military_department.a1234-d021,Заступник командира бригади - начальник відділення,307002,1,38,military_rank.rank_290
a1234-j0067,90,military_department.a1234-d021,Старший помічник начальника відділення,307003,1,21,military_rank.rank_250
a1234-j0068,91,military_department.a1234-d021,Начальник розвідки,970003,1,19,military_rank.rank_220
a1234-j0069,92,military_department.a1234-d021,Начальник зв'язку,1210003,1,19,military_rank.rank_220
a1234-j0070,93,military_department.a1234-d021,Помічник начальника артилерії,307003,2,17,military_rank.rank_220
a1234-j0072,96,military_department.a1234-d022,Начальник протиповітряної оборони - начальник відділення,419002,1,26,military_rank.rank_290
a1234-j0073,97,military_department.a1234-d022,Помічник начальника протиповітряної оборони,420003,1,17,military_rank.rank_220
a1234-j0074,99,military_department.a1234-d023,Начальник відділення,212003,1,24,military_rank.rank_290
a1234-j0075,100,military_department.a1234-d023,Старший помічник начальника відділення,212003,1,21,military_rank.rank_250
a1234-j0076,101,military_department.a1234-d023,Штаб-сержант 3 категорії,100723,1,14,military_rank.rank_90
a1234-j0077,103,military_department.a1234-d024,Начальник відділення,213003,1,24,military_rank.rank_250
a1234-j0078,104,military_department.a1234-d024,Інженер,213003,1,17,military_rank.rank_220
a1234-j0079,105,military_department.a1234-d024,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0080,107,military_department.a1234-d025,Помічник командира бригади - начальник служби,3001003,1,25,military_rank.rank_250
a1234-j0081,108,military_department.a1234-d025,Заступник начальника служби,3002003,1,24,military_rank.rank_220
a1234-j0082,109,military_department.a1234-d025,Технік,909945,1,10,military_rank.rank_100
a1234-j0083,110,military_department.a1234-d025,Старший спеціаліст,909376,1,7,military_rank.rank_90
a1234-j0084,111,military_department.a1234-d025,Спеціаліст,909320,2,6/6,military_rank.rank_50
a1234-j0086,114,military_department.a1234-d026,Начальник групи секретного документального забезпечення,992425,1,9,military_rank.rank_100
a1234-j0087,115,military_department.a1234-d026,Відповідальний виконавець,901547,1,8,military_rank.rank_50
a1234-j0088,116,military_department.a1234-d026,Діловод,404600,1,прим.35,military_rank.rank_10
a1234-j0089,118,military_department.a1234-d027,Командир відділення,993182,1,7/6,military_rank.rank_70
a1234-j0090,119,military_department.a1234-d027,Спеціаліст-оператор,993754,3,4,military_rank.rank_50
a1234-j0093,122,military_department.a1234-d027,Водій - електрик,790058,1,5/3,military_rank.rank_30
a1234-j0094,124,military_department.a1234-d028,Начальник інженерної служби,1001003,1,24,military_rank.rank_250
a1234-j0095,125,military_department.a1234-d028,"Начальник служби радіаційного, хімічного, біологічного захисту",1101003,1,24,military_rank.rank_250
a1234-j0096,126,military_department.a1234-d028,Начальник геоінформаційної служби,1901003,1,23,military_rank.rank_250
a1234-j0097,127,military_department.a1234-d028,Старший офіцер,1001003,1,21,military_rank.rank_250
a1234-j0098,128,military_department.a1234-d028,Начальник електротехнічної служби,5003003,1,23,military_rank.rank_220
a1234-j0099,129,military_department.a1234-d028,Начальник складу,720427,1,7,military_rank.rank_90
a1234-j0100,131,military_department.a1234-d029,Начальник групи,210003,1,22,military_rank.rank_250
a1234-j0101,132,military_department.a1234-d029,Старший офіцер,2801003,1,21,military_rank.rank_250
a1234-j0102,134,military_department.a1234-d030,Начальник медичної служби,9001023,1,24,military_rank.rank_270
a1234-j0103,135,military_department.a1234-d030,Офіцер,9001023,1,17,military_rank.rank_210
a1234-j0104,137,military_department.a1234-d031,Помічник командира бригади з фінансово-економічної роботи - начальник служби,3101013,1,25,military_rank.rank_250
a1234-j0105,138,military_department.a1234-d031,Заступник начальника служби,3101013,1,24,military_rank.rank_190
a1234-j0106,139,military_department.a1234-d031,Провідний бухгалтер,900093,1,8,military_rank.rank_90
a1234-j0107,140,military_department.a1234-d031,Бухгалтер 1 категорії,900111,1,8,military_rank.rank_50
a1234-j0108,141,military_department.a1234-d031,Бухгалтер 2 категорії,900053,1,7/5,military_rank.rank_50
a1234-j0109,142,military_department.a1234-d031,Бухгалтер,900025,3,7/4,military_rank.rank_50
a1234-j0112,145,military_department.a1234-d031,Бухгалтер,70715,5,прим.35,military_rank.rank_10
a1234-j0117,151,military_department.a1234-d032,Начальник логістики - заступник командира бригади,7001002,1,38,military_rank.rank_290
a1234-j0118,153,military_department.a1234-d033,Начальник відділення,7050003,1,24,military_rank.rank_250
a1234-j0119,154,military_department.a1234-d033,Старший помічник начальника відділення,7001003,1,21,military_rank.rank_220
a1234-j0120,155,military_department.a1234-d033,Помічник начальника відділення,7050003,1,17,military_rank.rank_190
a1234-j0121,156,military_department.a1234-d033,Помічник начальника відділення,7001003,1,17,military_rank.rank_190
a1234-j0122,157,military_department.a1234-d033,Штаб-сержант 3 категорії,600723,1,14,military_rank.rank_90
a1234-j0123,159,military_department.a1234-d034,Начальник озброєння - заступник начальника логістики,7050002,1,36,military_rank.rank_290
a1234-j0124,160,military_department.a1234-d034,Заступник начальника озброєння,7050003,1,25,military_rank.rank_250
a1234-j0125,162,military_department.a1234-d035,Начальник служби,7061003,1,24,military_rank.rank_250
a1234-j0126,163,military_department.a1234-d035,Помічник начальника служби,7061003,1,17,military_rank.rank_220
a1234-j0127,164,military_department.a1234-d035,Штаб-сержант 3 категорії,600723,1,14,military_rank.rank_90
a1234-j0128,165,military_department.a1234-d035,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0129,167,military_department.a1234-d036,Начальник служби,7062003,1,24,military_rank.rank_250
a1234-j0130,168,military_department.a1234-d036,Помічник начальника служби,7062003,1,17,military_rank.rank_220
a1234-j0131,169,military_department.a1234-d036,Штаб-сержант 3 категорії,600723,1,14,military_rank.rank_90
a1234-j0132,170,military_department.a1234-d036,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0133,172,military_department.a1234-d037,Начальник служби,7074003,1,24,military_rank.rank_250
a1234-j0134,173,military_department.a1234-d037,Помічник начальника служби,7074003,1,17,military_rank.rank_220
a1234-j0135,174,military_department.a1234-d037,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0136,176,military_department.a1234-d038,Начальник служби,1001003,1,24,military_rank.rank_250
a1234-j0137,177,military_department.a1234-d038,Помічник начальника служби,1210003,1,17,military_rank.rank_220
a1234-j0138,178,military_department.a1234-d038,Помічник начальника служби,1401003,1,17,military_rank.rank_220
a1234-j0139,179,military_department.a1234-d038,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0140,181,military_department.a1234-d039,Начальник служби,634003,1,24,military_rank.rank_220
a1234-j0141,183,military_department.a1234-d040,Начальник служби,7073003,1,24,military_rank.rank_250
a1234-j0142,184,military_department.a1234-d040,Помічник начальника служби,7073003,1,17,military_rank.rank_220
a1234-j0143,185,military_department.a1234-d040,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0144,187,military_department.a1234-d041,Начальник служби,4614003,1,24,military_rank.rank_250
a1234-j0145,188,military_department.a1234-d041,Помічник начальника служби,4614003,1,17,military_rank.rank_220
a1234-j0146,189,military_department.a1234-d041,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0147,191,military_department.a1234-d042,Начальник служби,7097003,1,23,military_rank.rank_220
a1234-j0148,193,military_department.a1234-d043,Начальник тилу - заступник начальника логістики,7001002,1,36,military_rank.rank_290
a1234-j0149,194,military_department.a1234-d043,Заступник начальника тилу,7001003,1,29,military_rank.rank_250
a1234-j0150,196,military_department.a1234-d044,Начальник служби,7021003,1,24,military_rank.rank_250
a1234-j0151,197,military_department.a1234-d044,Помічник начальника служби,7021003,1,17,military_rank.rank_190
a1234-j0152,198,military_department.a1234-d044,Діловод,901074,2,4/4,military_rank.rank_50
a1234-j0154,201,military_department.a1234-d045,Начальник служби,7010003,1,24,military_rank.rank_250
a1234-j0155,202,military_department.a1234-d045,Помічник начальника служби,7010003,1,17,military_rank.rank_190
a1234-j0156,203,military_department.a1234-d045,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0157,205,military_department.a1234-d046,Начальник служби,7023003,1,24,military_rank.rank_250
a1234-j0158,206,military_department.a1234-d046,Помічник начальника служби,7023003,1,17,military_rank.rank_190
a1234-j0159,207,military_department.a1234-d046,Діловод,901074,2,4/4,military_rank.rank_50
a1234-j0161,210,military_department.a1234-d047,Начальник служби,6201003,1,23,military_rank.rank_220
a1234-j0162,211,military_department.a1234-d047,Штаб-сержант 3 категорії,600723,1,14,military_rank.rank_90
a1234-j0163,212,military_department.a1234-d047,Діловод,901074,1,4/4,military_rank.rank_50
a1234-j0164,215,military_department.a1234-d049,Командир батальйону,212002,1,24,military_rank.rank_290
a1234-j0165,216,military_department.a1234-d049,Заступник командира батальйону,212003,1,23,military_rank.rank_250
a1234-j0166,217,military_department.a1234-d049,Заступник командира батальйону з морально-психологічного забезпечення,3410003,1,23,military_rank.rank_250
a1234-j0167,218,military_department.a1234-d049,Офіцер-психолог,3400023,1,15,military_rank.rank_190
a1234-j0168,219,military_department.a1234-d049,Головний сержант,929982,1,18,military_rank.rank_110
a1234-j0169,221,military_department.a1234-d050,Начальник штабу - заступник командира батальйону,212003,1,23,military_rank.rank_250
a1234-j0170,223,military_department.a1234-d051,Начальник групи,2905003,1,17,military_rank.rank_220
a1234-j0171,224,military_department.a1234-d051,Відповідальний виконавець,901547,1,8,military_rank.rank_50
a1234-j0172,226,military_department.a1234-d052,Начальник групи,902003,1,17,military_rank.rank_220
a1234-j0173,227,military_department.a1234-d052,Помічник начальника групи,100601,1,6,military_rank.rank_70
a1234-j0174,229,military_department.a1234-d053,Начальник групи - заступник начальника штабу,212003,1,20,military_rank.rank_220
a1234-j0175,230,military_department.a1234-d053,Офіцер,212003,1,15,military_rank.rank_190
a1234-j0176,231,military_department.a1234-d053,Помічник начальника групи,100601,1,6,military_rank.rank_70
a1234-j0177,233,military_department.a1234-d054,Начальник групи,7050003,1,17,military_rank.rank_220
a1234-j0178,234,military_department.a1234-d054,Офіцер,7050003,1,15,military_rank.rank_190
a1234-j0179,235,military_department.a1234-d054,Офіцер,7001003,1,15,military_rank.rank_190
a1234-j0180,237,military_department.a1234-d055,Начальник групи,1210003,1,17,military_rank.rank_220
a1234-j0181,238,military_department.a1234-d055,Помічник начальника групи,100601,1,6,military_rank.rank_70
a1234-j0182,240,military_department.a1234-d056,Начальник групи,212003,1,17,military_rank.rank_220
a1234-j0183,241,military_department.a1234-d056,Технік,832945,1,10,military_rank.rank_100
a1234-j0184,242,military_department.a1234-d056,Інструктор,100119,1,11/6 ,military_rank.rank_90
a1234-j0185,244,military_department.a1234-d057,Начальник групи,8504003,1,17,military_rank.rank_220
a1234-j0186,245,military_department.a1234-d057,Помічник начальника групи,100601,1,6,military_rank.rank_70
a1234-j0187,247,military_department.a1234-d058,Начальник групи,1001003,1,17,military_rank.rank_220
a1234-j0188,248,military_department.a1234-d058,Помічник начальника групи,100601,1,6,military_rank.rank_70
a1234-j0189,250,military_department.a1234-d059,Командир роти,212003,1,19,military_rank.rank_220
a1234-j0190,251,military_department.a1234-d059,Заступник командира роти - інструктор з повітряно-десантної підготовки,212003,1,18,military_rank.rank_190
