id,parent_id,sequence,category,subcategory,name,name_short,nato_code,description
rank_340,,340,officer,master,General,г-л,OF-9,командир армії
rank_330,General,330,officer,master,Lieutenant General,г-л/л-нт,OF-8,командир корпусу
rank_320,Lieutenant General,320,officer,master,Major General,г-л/м-р,OF-7,командир дивізії
rank_310,Major General,310,officer,master,Brigade General,бр г-л,OF-6,командир бригади
rank_300,Brigade General,300,officer,senior,Colonel,п-к,OF-5,командир полку
rank_290,Colonel,290,officer,senior,Lieutenant Colonel,пп-к,OF-4,командир батальйону
rank_280,Lieutenant Colonel,280,officer,senior,Major of the chaplain service,м-р,,
rank_270,Major of the chaplain service,270,officer,senior,Major of the medical service,м-р,,
rank_260,Major of the medical service,260,officer,senior,Major of Justice,м-р,,
rank_250,Major of Justice,250,officer,senior,Major,м-р,OF-3,заступник командира батальйону
rank_240,Major,240,officer,junior,Captain of the medical service,к-н,,
rank_230,Captain of the medical service,230,officer,junior,Captain of Justice,к-н,,
rank_220,Captain of Justice,220,officer,junior,Captain,к-н,OF-2,командир роти
rank_210,Captain,210,officer,junior,Senior Lieutenant of the medical service,ст л-нт,,
rank_200,Senior Lieutenant of the medical service,200,officer,junior,Senior Lieutenant of Justice,ст л-нт,,
rank_190,Senior Lieutenant of Justice,190,officer,junior,Senior Lieutenant,ст л-нт,OF-1b,командир взводу
rank_180,Senior Lieutenant,180,officer,junior,Lieutenant of the medical service,л-нт,,
rank_170,Lieutenant of the medical service,170,officer,junior,Lieutenant of Justice,л-нт,,
rank_160,Lieutenant of Justice,160,officer,junior,Lieutenant,л-нт,OF-1a2,командир взводу
rank_155,Lieutenant,155,officer,junior,Junior Lieutenant of the medical service,мол л-нт,OF-1a1,
rank_150,Junior Lieutenant of the medical service,150,officer,junior,Junior Lieutenant,мол л-нт,OF-1a1,командир взводу
rank_140,Junior Lieutenant,140,sergeant,master,Chief Master Sergeant,гол м-с-нт,OR-94,головний сержант роду військ
rank_130,Chief Master Sergeant,130,sergeant,master,Senior Master Sergeant,ст ,OR-93,головний сержант роду військ
rank_120,Senior Master Sergeant,120,sergeant,master,Mаster Sergeant,м-с-нт,OR-92,головний сержант бригади
rank_110,Mаster Sergeant,110,sergeant,senior,Staff Sergeant,шт с-нт,OR-91,головний сержант батальйону
rank_100,Staff Sergeant,100,sergeant,senior,Major Sergeant,гол с-нт,OR-8,головний сержант роти
rank_90,Major Sergeant,90,sergeant,senior,Senior sergeant,ст с-нт,OR-7,головний сержант взводу
rank_80,Senior sergeant,80,sergeant,junior,Sergeant,с-нт,OR-6,командир відділення
rank_70,Sergeant,70,sergeant,junior,Junior sergeant,мол с-нт,OR-5,заступник командира відділення
rank_60,Junior sergeant,60,private,junior,Senior soldier of term service,ст с-т,OR-3,
rank_50,Senior soldier of term service,50,private,junior,Senior soldier,ст с-т,OR-3,досвідчений солдат
rank_40,Senior soldier,40,private,junior,Soldier of term service,с-т,OR-2,
rank_30,Soldier of term service,30,private,junior,Soldier,с-т,OR-2,рядовий
rank_20,Soldier,20,private,junior,Recruit,р-т,OR-1,тимчасове звання до прийняття присяги
rank_10,Recruit,10,,,UAF Employee,,,
